Cloud,Persona,Needed from Cloud,Order,Related metrics,Metric,Visualization,Definition,DMOs,Technical definition,Dimensions,Action
Field Service,Field Service Leader,Field Service Cloud + Sales Cloud,Primary,3,Revenue & Renewal Protection,,,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud + Sales Cloud,Secondary,3,- Revenue at risk linked to open field visits,Metric Card,Value of ARR/MRR associated with accounts that have unresolved field visits.,"WorkOrder, Subscription/RevenueTransaction, Account",SUM(Subscription.ARR) WHERE Account.Id IN (WorkOrder.AccountId AND WorkOrder.Status != Closed).,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud + Sales Cloud,Secondary,3,- Renewal rate of accounts with multiple field visits,Trend Line,Renewal % of accounts that had 2+ visits in a cycle.,"Subscription, WorkOrder, Account",RenewalRate = Renewed ÷ (Renewed + Not Renewed) for Accounts with COUNT(WorkOrders) > 1.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud + Sales Cloud,Secondary,3,- Upsell/cross-sell identified during visits,Metric Card,Revenue from upsell/cross-sell opportunities created during/after visits.,"Opportunity (Type=Upsell/Cross-Sell), WorkOrder",SUM(Opp.Amount WHERE Opp.Source = WorkOrder.Id).,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud + CSI,Primary,4,Customer Experience in Field,,,,,,
Field Service,Field Service Leader,Field Service Cloud + CSI,Secondary,4,- Onsite CSAT/NPS distribution,Pie Chart,CSAT/NPS survey distribution collected during/after field visits.,"SurveyResponse, WorkOrder, Account",AVG(Survey.Score) GROUP BY Score Band for Accounts with WorkOrders.,,
Field Service,Field Service Leader,Field Service Cloud + CSI,Secondary,4,- Sentiment topics collected during visits,Bar Chart,Sentiment distribution by topic captured in field visit notes.,"WorkOrder (Notes), Sentiment Object",NLP Topic Extraction grouped by Sentiment Category.,,
Field Service,Field Service Leader,Field Service Cloud + CSI,Secondary,4,- Case-to-visit CSAT correlation,Trend Line,Relationship between case resolution and field visit CSAT.,"Case, WorkOrder, SurveyResponse",Correlate Case.Close metrics with WorkOrder.CSAT (SurveyResponse).,,
Field Service,Field Service Leader,Field Service + Revenue Cloud,Tertiary,4,- High-value accounts receiving poor field service,Metric Card,# of high ARR/LTV accounts with poor CSAT from visits.,"Account (LTV/ARR), WorkOrder, SurveyResponse",COUNT(Account.Id WHERE LTV ≥ threshold AND CSAT ≤ threshold).,,
Field Service,Field Service Leader,Field Service + Revenue Cloud,Tertiary,4,- Repeat visits driving churn risk (Revenue Cloud),Bar Chart,Accounts with multiple repeat visits linked to churn risk.,"WorkOrder, Subscription/RevenueTransaction, Account",COUNT(Accounts with WorkOrders > 2 AND Account.ChurnRisk=True).,,
Field Service,Field Service Leader,CSI,Primary,5,Positive sentiment,Metric Card,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Secondary,5,Sentiment for key topic clusters,Bar Chart,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Secondary,5,Sentiment trend,Trend Line,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Tertiary,5,Sentiment for key topics,Bar Chart,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Primary,6,Negative sentiment,Metric Card,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Secondary,6,Sentiment for key topic clusters,Bar Chart,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Secondary,6,Sentiment trend,Trend Line,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Tertiary,6,Sentiment for key topic clusters,Bar Chart,Sentiment data filtered for Field Service cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Primary,7,CSAT,Metric Card,CSAT data filtered for Field Service Cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Secondary,7,CSAT trend,Trend Line,CSAT data filtered for Field Service Cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Primary,8,NPS,Metric Card,NPS data filtered for Field Service Cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,CSI,Secondary,8,NPS trend,Trend Line,NPS data filtered for Field Service Cloud,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Sales Cloud + Revenue Cloud,Primary,9,LTV (or Revenue),,,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Revenue Cloud,Primary,10,Account up for renewal,,,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Marketing Cloud,Primary,11,Top campaigns,,,,,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Sales Cloud,Primary,12,Closed opportunities count,Metric Card,Closed opportunities count,Opportunity,COUNT(Opp.Id WHERE Stage=Closed Won) ,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Sales Cloud,Secondary,12,Closed opportunities by product,Bar chart,Closed opportunities segmented by product for which visits occurred.,"Opportunity, WorkOrder, Asset",COUNT(Opp.Id WHERE Stage=Closed Won) GROUP BY Product tied to WorkOrder.Asset.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Technician,Marketing Cloud,Primary,13,Top campaigns,,,,,,
Field Service,Field Technician,Marketing Cloud,Primary,13,Active campaigns name per account,,,,,,
Field Service,Field Technician,Sales Cloud,Primary,,Open opportunity details,,,,,,
Field Service,Field Technician,Sales Cloud,Primary,,Lead score,,,,,,
Field Service,Field Technician,Sales Cloud,Primary,,Opportunity score,,,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Primary,1,Campaign → Opportunity Contribution,Metric Card,% of closed opportunities influenced by at least one campaign.,"Campaign, Opportunity, Opportunity Influence (https://salesforce.quip.com/GhgxANSTGm6b)",Unique Opps closed/wom with the date range with Opportunity Influence ÷ Total Opps closed/won within the date range,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Secondary,1,Distribution of opportunities by channel [First touch],Bar Chart,Breakout of opportunities by first-touch campaign channel,"Campaign, Opportunity, Opportunity Influence (https://salesforce.quip.com/GhgxANSTGm6b)",Unique Opps closed/wom with the date range with Opportunity Influence (based on first touch attribution model) ÷ Total Opps closed/won within the date range,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Secondary,1,Distribution of opportunities by channel [Last touch],Bar Chart,Breakout of opportunities by last-touch campaign channel.,"Campaign, Opportunity, Opportunity Influence (https://salesforce.quip.com/GhgxANSTGm6b)",Unique Opps closed/wom with the date range with Opportunity Influence (based on last touch attribution model) ÷ Total Opps closed/won within the date range,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Secondary,1,Opportunity stage distribution influenced by campaign,Pie Chart,% of campaign-influenced opportunities in each sales stage.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Tertiary,1,Win rate of campaign-influenced opportunities,Metric Card,% of campaign-influenced opportunities that closed Won.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Secondary,1,Avg. pipeline velocity for campaign-touched opps ,Trend Line,Average days for campaign-influenced opps to move from creation to close.,"Opportunity, Opportunity Influence",AVG(Opp.CloseDate − Opp.CreatedDate) for Opps with Opportunity Influence,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Tertiary,1,Avg. pipeline velocity for campaign-touched opps [First touch],Trend Line,Average days for campaign-influenced opps to move from creation to close.,"Opportunity, Opportunity Influence","AVG(Opp.CloseDate − Opp.CreatedDate) for Opps with Opportunity Influence  (based on first touch attribution model)
closed within the date range","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Tertiary,1,Avg. pipeline velocity for campaign-touched opps [last touch],Trend Line,Average days for campaign-influenced opps to move from creation to close.,"Opportunity, Opportunity Influence","AVG(Opp.CloseDate − Opp.CreatedDate) for Opps with Opportunity Influence  (based on last touch attribution model)
closed within the date range","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Tertiary,1,Top won reasons for influenced opps,Bar Chart,Most frequent win/loss reasons for campaign-influenced opps.,"Opportunity, Opportunity Influence, Contact Reason by account","Count of top 10 most frequent contact reasons for accounts in opps in Opportunity Influence, and closed within the date range. ","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud,Tertiary,1,Marketing influence on products,Bar Chart,Products with most closed/won opps influenced by Marketing,"Opportunity, Opportunity Influence, Opportunity product","Top 10 products, by opportunity count","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Primary,2,Campaign-to-Revenue Contribution,Metric Card,Portion of closed-won revenue influenced by marketing campaigns.,"Opportunity, Opportunity Influence",SUM(Unique Opps closed/wom with the date range with Opportunity Influence) ÷ SUM(Total Opps closed/won) within the date range,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Secondary,2,influenced ARR/MRR by channel,Bar Chart,Total ARR/MRR influenced by campaigns by channel.,"Opportunity, Subscription (Revenue), CampaignInfluence",SUM(Subscription.ARR or MRR) grouped by Campaign.Channel for Opps with Campaign Influence.,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Secondary,2,Renewal revenue influenced by marketing (by overall revenue),Metric Card,Renewal revenue influenced by campaigns as % of overall renewal revenue.,"Opportunity (Renewal), RevenueTransaction, CampaignInfluence",SUM(Renewal Opp.Amount with Campaign Influence) ÷ SUM(All Renewal Opp.Amount).,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Secondary,2,Upsell/cross-sell revenue with campaign touch (by overall revenue),Metric Card,Portion of upsell/cross-sell revenue tied to campaign-influenced opps.,"Opportunity (Upsell/Cross-sell), RevenueTransaction, CampaignInfluence",SUM(Upsell/Cross-sell Opp.Amount with Campaign Influence) ÷ SUM(All Upsell/Cross-sell Opp.Amount).,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Tertiary,2,Campaigns linked to high churn,Bar Chart,Campaigns associated with customers who later churned.,"Campaign, Opportunity, Account, Subscription",Count of churned Accounts with Campaign Influence on any Opp → grouped by Campaign.,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Tertiary,2,Campaigns linked to high renewal rates,Bar Chart,Campaigns correlated with high customer renewal rates.,"Campaign, Opportunity, Subscription",Renewal % of Accounts with Campaign Influence grouped by Campaign.,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Primary,3,Retention influenced by Marketing,Metric Card,% of customers acquired via marketing campaigns who are still active.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Secondary,3,Retention by engagement channel (Email vs. SMS vs. Web),Bar Chart,Retention % segmented by original campaign engagement channel.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Secondary,3,Churn % among campaign-acquired customers,Metric Card,% of campaign-acquired customers who have churned.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Secondary,3,Repeat purchase rate,Metric Card,% of campaign-acquired customers who made repeat purchases.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Tertiary,3,Average contract expansion for campaign-influenced accounts,Trend Line,Avg. contract size growth for accounts acquired via campaigns.,,,,
Marketing Cloud,Marketing leader,Marketing Cloud + Service Cloud,Tertiary,3,# of retained customers with active service issues,Metric Card,"Count of active customers with unresolved service cases, acquired via campaigns.",,,,
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Service Cloud,Primary,4,Engagement-to-Service Impact,Trend Line,Service cases linked to campaigns,"Campaign, CampaignMember, Case, Segment",Total Service cases from campaign-engaged accounts (derived from contacts part of the campaign segments) created within the date range,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Service Cloud,Secondary,4,Campaigns with highest # of escalated cases,Bar Chart,Campaigns that generated the most escalated service cases.,"Campaign, Case, Account","Total Escalated Service cases from campaign-engaged accounts (derived from contacts part of the campaign segments) created within the date range, grouped by campaign name","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + CSI,Secondary,4,NPS scores by campaign-influenced segment,Bar Chart,Avg. NPS/CSAT by campaign influence,"Campaign, Account. Opportunity Influence","AVG(NPS) of accounts where opportunities were closed with campaign influence in Opportunity influence vs.
AVG(NPS) of accounts where opportunities were closed without campaign influence","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + CSI,Secondary,4,CSAT scores by campaign-influenced segment,Bar Chart,Avg. NPS/CSAT by campaign influence,"Campaign, Account. Opportunity Influence","AVG(NPS) of accounts where opportunities were closed with campaign influence in Opportunity influence vs.
AVG(NPS) of accounts where opportunities were closed without campaign influence","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Service Cloud,Secondary,4,Case resolution speed for campaign-influenced customers,Metric Card,Avg. case resolution time for customers acquired via campaigns.,"Case, Account, CampaignInfluence",AVG(Case.CloseDate − Case.CreatedDate) where Account has opportunity in Opportunity influence.,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Primary,5,Positive sentiment,Metric Card,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Secondary,5,Sentiment for key topic clusters,Bar Chart,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Secondary,5,Sentiment trend,Trend Line,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Tertiary,5,Sentiment for key topics,Bar Chart,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Primary,6,Negative sentiment,Metric Card,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Secondary,6,Sentiment for key topic clusters,Bar Chart,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Secondary,6,Sentiment trend,Trend Line,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Tertiary,6,Sentiment for key topic clusters,Bar Chart,Sentiment data filtered for Marketing cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Primary,7,CSAT,Metric Card,CSAT data filtered for Marketing Cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Secondary,7,CSAT trend,Trend Line,CSAT data filtered for Marketing Cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Primary,8,NPS,Metric Card,NPS data filtered for Marketing Cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",CSI,Secondary,8,NPS trend,Trend Line,NPS data filtered for Marketing Cloud,,,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud,Primary,9,"Multi-Channel Engagement (Email, SMS, WhatsApp, Landing Page visits)",Metric card,"The total number of clicks, opens, reads, and replies across various marketing channels.	","CampaignMember, Tracking Events, Contact",Total Activities (https://help.salesforce.com/s/articleView?id=mktg.mktg_reporting_formula_reference.htm&type=5),"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Service Cloud,Secondary,9,Enagagement by customers with open service cases,Bar Chart,Engagement volume from customers who also have open service cases.,"Campaign, CampaignMember, Case, Account","Total Activities where related Account has Case.Status = Open. vs.
Total Activities where related Account has Case.Status = Closed.","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Field Service Cloud,Secondary,9,Engagement by customers with open Field Service cases,Bar Chart,Engagement volume from customers who have active field visits.,"Campaign, CampaignMember, WorkOrder, Account","Count of Total Activities events where related Account has WorkOrder.Status = Open. vs. 
Count of Total Activities events where related Account has WorkOrder.Status = Closed","Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Service Cloud,Secondary,9,Enagement distribution by overall overall NPS scores,Bar Chart,Engagement volume segmented by NPS band.,"CampaignMember, SurveyResponse, Account",Engagement Count grouped by NPS score bands.,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + Service Cloud,Secondary,9,Enagement distribution by overall overall CSAT scores,Bar Chart,Engagement volume segmented by CSAT band.,"CampaignMember, SurveyResponse, Account",Engagement Count grouped by CSAT score bands.,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,"Marketing leader
+ Doer persona",Marketing Cloud + CSI,Secondary,9,Enagagement distribution by overall positive/negative/neutral sentiment,Bar Chart,Engagement breakdown by customer sentiment.,"CampaignMember, Sentiment Analysis Object, Account",Count of Engagements grouped by Sentiment Category (Positive/Negative/Neutral).,"Campaign, Campaign type, Segment, Account, Feedback channel, Date range",
Marketing Cloud,Marketing leader,Marketing Cloud + Sales Cloud + Revenue Cloud,Tertiary,9,Accounts with high LTV but low engagement in owned media,Bar Chart,High-value customers who rarely engage with campaign channels.,"Account (LTV), CampaignMember (Engagement), Campaign",Accounts where LTV ≥ threshold AND CampaignMember.EngagementScore < threshold.,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Lifetime Value (LTV),,,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Monthly Recurring Revenue (MRR),,"Total recurring revenue generated monthly from active subscriptions.

Sum of AssetStatePeriod.MRR for active subscriptions where StartDate ≤ TODAY and (EndDate ≥ TODAY OR EndDate = NULL)",,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Active Subscriptions,,,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,New Subscriptions Metric,,,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Booking Revenue Metric,,,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Renewals Metric,,,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Top Sales Representatives,,Active subscriptions by sales rep ,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Subscription Growth Trend,,"MoM growth of active subscriptions 
",,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Subscription Details ,,,,,,
Revenue Cloud,Sales Lead / CXO,Sales Cloud,,,Einstein Forecasting Prediction,,,,,,
Revenue Cloud,Sales Lead / CXO,TBD,,,Win / Loss Insights,,aggregate customer insights from recent renewals vs. churned accounts,,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Customer Renewal Rate,,"Percentage of customers who renewed their subscriptions within a defined period.

C / (C + D), where C = unique customer-renewed pairs, D = customer not renewed pairs (via order-subscription join logic)",,,,
Revenue Cloud,Sales Lead / CXO,Revenue Cloud,,,Customer Churn Rate,,100% - Customer Renewal Rate,,,,
Revenue Cloud,Sales Lead / CXO,Service Cloud,,,NPS score,,,,,,
Revenue Cloud,Sales Lead / CXO,Service Cloud,,,Customers with highest NPS scores,,,,,,
Revenue Cloud,Sales Lead / CXO,Service Cloud,,,CSAT score,,,,,,
Revenue Cloud,Sales Lead / CXO,Service Cloud,,,No. of open support cases,,,,,,
Revenue Cloud,Sales Lead / CXO,Service Cloud,,,Avg time to close cases,,,,,,
Revenue Cloud,Sales Lead / CXO,Service Cloud,,,Top reasons for support cases,,,,,,
Revenue Cloud,Sales Rep or Renewal Manager,,,,Upcoming Renewals,,"Number of subscriptions due to renew in the next 90 days.

Subscriptions where LifecycleEndDate ≤ NEXT_90_DAYS and CurrentMRR > 0, excluding those marked for cancellation",,,,Create renewal quote from Quoting agent
Revenue Cloud,Sales Rep or Renewal Manager,Revenue Cloud,,,Monthly Recurring Revenue (MRR),,,,,,
Revenue Cloud,Sales Rep or Renewal Manager,Sales Cloud,,,Einstein Forecasting Prediction,,,,,,
Revenue Cloud,Sales Rep or Renewal Manager,Service Cloud,,,Top reasons for support cases,,,,,,
Revenue Cloud,Sales Rep or Renewal Manager,Service Cloud,,,NPS score,,,,,,
Revenue Cloud,Sales Rep or Renewal Manager,Service Cloud,,,Number of Open Support Cases,,,,,,
Revenue Cloud,Sales Rep or Renewal Manager,Service Cloud,,,CSAT score,,,,,,
Revenue Cloud,Single Account Drilldown Level,CSI,,,Customer Sentiment Score,,"Overall score/color derived from analyzing customer interactions like service call transcripts, emails, and survey responses

Score out of 10
Include phrases / words that support on hover
",,,,
Revenue Cloud,Single Account Drilldown Level,TBD,,,Conversation Insights,,Analyze previous calls for product mentions and sentiment,,,,"Create quote with mentioned products, create follow up tasks"
Revenue Cloud,Single Account Drilldown Level,Service Cloud,,,NPS score,,,,,,Follow up with service team on status of unresolved cases
Revenue Cloud,Single Account Drilldown Level,Service Cloud,,,CSAT score,,,,,,Follow up with service team on status of unresolved cases
Revenue Cloud,Single Account Drilldown Level,Service Cloud,,,Open High Priority Cases,,,,,,"For longstanding open high priority cases, offer discount using Quoting agent"
Revenue Cloud,Single Account Drilldown Level,Service Cloud,,,Number of Open Support Cases,,,,,,
